DEPRECATED_API,KNOWN_REPLACEMENT,AVAILABLE_IN_REL_NOTES,REPLACEMENT_FOUND,CORRECT replacement ?,PROPOSED_REPLACEMENT,EXTRACT_FROM_DOCUMENTATION
seaborn.JointGrid,,0,1,0,,
seaborn.coefplot,,0,0,0,['interactplot'],
seaborn.interactplot,,0,0,0,,
seaborn.apionly,,0,1,0,"['seaborn.regression'], ['reset_orig'], ['center']",
seaborn.corrplot,heatmap,1,1,1,['heatmap'],
seaborn.symmatplot,heatmap,1,1,1,['heatmap'],
seaborn.despine,,0,1,0,"[['PairGrid'], ['offset_spines'], ['set_palette'], ['jointplot']]",
seaborn.set_color_palette,set_palette,1,1,1,['set_palette'],
seaborn.palette_context,set_palette,1,1,1,['set_palette'],
seaborn.JointGrid.annotate,,0,1,0,['heatmap'],
seaborn.lvplot,boxenplot,1,1,1,['boxenplot'],
seaborn.factorplot,,0,0,0,"[['tutorial <facet_grid>'], ['pointplot'], ['hue'], ['FacetGrid'], ['barplot'], ['lvplot'], ['lvplot'], ['coefplot'], ['coefplot']]",
seaborn.tsplot,lineplot,1,1,1," [['lineplot'], ['statsmodels'], ['interactplot'], ['lineplot']]",
