deprecated API,replacement API,extracted_text,PROPOSED_REPLACEMENT
numpy.distutils.exec_command,subprocess.Popen,"{""'_exec_command_posix failed (status=%s"", ""'exec_command is deprecated since NumPy v1.17, use '                  'subprocess.Popen instead', DeprecationWarning, stacklevel=1""}","{""' 'subprocess.popen""}"
numpy.alen,numpy.len,"{'        ""`np.alen` is deprecated, use `len` instead"",        DeprecationWarning, stacklevel=2'}",{'len'}
numpy.core.typeNA,numpy.sctypeDict,set(),set()
numpy.core.sctypeNA,numpy.sctypeDict,set(),set()
numpy.testing.utils,numpy.testing,"{'""Importing from numpy.testing.utils is deprecated, ""              ""import from numpy.testing instead."",              ImportWarning, stacklevel=2'}",{'numpy.testing'}
numpy.testing.decorators,numpy.testing,"{'""Importing from numpy.testing.decorators is deprecated, ""              ""import from numpy.testing instead."",              DeprecationWarning, stacklevel=2'}",{'numpy.testing'}
numpy.testing.nosetester,numpy.testing,"{'""Importing from numpy.testing.nosetester is deprecated, ""              ""import from numpy.testing instead."",              DeprecationWarning, stacklevel=2'}",{'numpy.testing'}
numpy.testing.noseclasses,numpy.testing,"{'""Importing from numpy.testing.noseclasses is deprecated, ""              ""import from numpy.testing instead"",              DeprecationWarning, stacklevel=2'}",{'numpy.testing'}
numpy.FloatFormat,numpy.FloatingFormat,set(),set()
numpy.LongFloatFormat,numpy.FloatingFormat,set(),set()
numpy.unique1d,numpy.unique,set(),set()
numpy.intersect1d_nu,numpy.intersect1d,set(),set()
numpy.setmember1d,numpy.in1d,set(),set()
numpy.asscalar,numpy.ndarray.item,"{""'np.asscalar(a""}","{""'np.asscalar(a""}"
numpy.ma.Masked_Array.mini,np.ma.minimum.reduce,set(),set()
numpy.loads,pickle.loads,"{""'loads'"", '        ""np.loads is deprecated, use pickle.loads instead"",        DeprecationWarning, stacklevel=2', '        ""np.core.numeric.loads is deprecated, use pickle.loads instead"",        DeprecationWarning, stacklevel=2'}",{'pickle.loads'}
numpy.core.numeric.load,pickle.load,set(),set()
numpy.core.numeric.loads,pickle.loads,set(),set()
numpy.ma.loads,pickle.loads,"{""'loads'""}",set()
numpy.ma.dumps,pickle.dumps,"{""'dumps'""}",set()
numpy.ma.load,pickle.load,"{""'loads'"", ""'load'""}",set()
numpy.ma.dump,pickle.dump,"{""'dumps'"", ""'dump'""}",set()
numpy.ma.array.mini,np.ma.minimum.reduce,set(),set()
numpy.distutils.temp_file_name,tempfile.mkstemp,"{""'temp_file_name is deprecated since NumPy v1.17, use '                  'tempfile.mkstemp instead', DeprecationWarning, stacklevel=1""}","{""' 'tempfile.mkstemp""}"
numpy.lib.npyio.NpzFile.iteritem,numpy.lib.npyio.NpzFile.item,set(),set()
numpy.lib.npyio.NpzFile.iterkeys,numpy.lib.npyio.NpzFile.iterkeys,set(),set()
numpy.ndfromtxt,numpy.genfromtxt,"{'        ""np.ndfromtxt is a deprecated alias of np.genfromtxt, ""        ""prefer the latter."",        DeprecationWarning, stacklevel=2'}","{'latter.,', 'np.genfromtxt,', 'np.ndfromtxt'}"
numpy.mafromtxt,numpy.genfromtxt,"{'        ""np.mafromtxt is a deprecated alias of np.genfromtxt, ""        ""prefer the latter."",        DeprecationWarning, stacklevel=2'}","{'np.mafromtxt', 'np.genfromtxt,', 'latter.,'}"
numpy.mirr,numpy_financial.mirr,"{""_depmsg.format(name='mirr'""}","{""_depmsg.format(name='mirr'""}"
numpy.PolyBase,ABCPolyBase,set(),set()
numpy.typeDict,np.sctypeDict,set(),set()
numpy._ctypes.get_data,_ctypes.data,set(),set()
numpy._ctypes.get_shape,_ctypes.shape,set(),set()
numpy._ctypes.get_strides,_ctypes.strides,set(),set()
numpy._ctypes.get_as_parameter,_ctypes._as_parameter_,set(),set()
