deprecated API,replacement API,extracted_text,PROPOSED_REPLACEMENT
pandas.SparseSeries,pandas.Series,"{'            _sparse_msg.format(cls=""SparseSeries"", new=""Series""', '""\'from_array\' is deprecated and will be removed in a ""                      ""future version. Please use the pd.SparseSeries(..', '""SparseTimeSeries is deprecated. Please use SparseSeries"",                      FutureWarning, stacklevel=2', '""SparseTimeSeries is deprecated. Please use ""                      ""SparseSeries"", FutureWarning, stacklevel=2', '""SparseSeries.block is deprecated."", FutureWarning,                      stacklevel=2', '""SparseSeries.block is deprecated."", FutureWarning, stacklevel=2', '            ""\'from_array\' is deprecated and will be removed in a ""            ""future version. Please use the pd.SparseSeries(..'}","{'sparseseries,', 'the'}"
pandas.SparseDataFrame,pandas.DataFrame,"{'            _sparse_msg.format(cls=""SparseDataFrame"", new=""DataFrame""'}","{'_sparse_msg.format(cls=sparsedataframe,'}"
pandas.Series.ftype,dtype(),"{'            ""get_ftype_counts is deprecated and will "" ""be removed in a future version"",            FutureWarning,            stacklevel=2,        ', '            ""Series.ftype is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', '            ""DataFrame.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use DataFrame.dtypes instead."",            FutureWarning,            stacklevel=2,        ', '            ""Series.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', '""get_ftype_counts is deprecated and will ""                      ""be removed in a future version"",                      FutureWarning, stacklevel=2'}","{'dataframe.dtypes', 'series.dtype'}"
pandas.Series.ftypes,dtypes(),"{'            ""Series.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', '            ""DataFrame.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use DataFrame.dtypes instead."",            FutureWarning,            stacklevel=2,        '}","{'dataframe.dtypes', 'series.dtype'}"
pandas.DataFrame.ftypes,dtypes(),"{'            ""Series.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', '            ""DataFrame.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use DataFrame.dtypes instead."",            FutureWarning,            stacklevel=2,        '}","{'dataframe.dtypes', 'series.dtype'}"
pandas.DataFrame.get_dtype_counts,pandas.DataFrame.dtypes.value_counts,"{'            ""`get_dtype_counts` has been deprecated and will be ""            ""removed in a future version. For DataFrames use ""            ""`.dtypes.value_counts"",            FutureWarning,            stacklevel=2,        '}","{'.dtypes.value_counts,'}"
pandas.MultiIndex.labels,pandas.MultiIndex.codes,"{'("".labels was deprecated in version 0.24.0. ""                       ""Use .codes instead.""', '            ("".labels was deprecated in version 0.24.0. "" ""Use .codes instead.""', '("".set_labels was deprecated in version 0.24.0. ""                       ""Use .set_codes instead.""', '            (                "".set_labels was deprecated in version 0.24.0. ""                ""Use .set_codes instead.""            '}","{'.codes', '.set_codes'}"
pandas.MultiIndex.set_labels,pandas.MultiIndex.set_codes,"{'""setting labels directly"",                             partial(set_labels, inplace=True,                                     verify_integrity=True', '("".set_labels was deprecated in version 0.24.0. ""                       ""Use .set_codes instead.""', '            (                "".set_labels was deprecated in version 0.24.0. ""                ""Use .set_codes instead.""            '}",{'.set_codes'}
pandas.Series.ptp,numpy.ptp,"{'""iget(i', '""irow(i', '""TimeSeries is deprecated. Please use Series"",                      FutureWarning, stacklevel=2', '""sort is deprecated, use sort_values(inplace=True', '(""na_last is deprecated. Please use na_position instead""', '""iget_value(i', '""nanRep is deprecated, use na_rep"", FutureWarning', '""Series.reset_index with inplace=True will ""                              ""return None from pandas 0.11 onward"",                              FutureWarning', 'msg, FutureWarning, stacklevel=2', '""Series.rename with inplace=True  will return None""                          "" from pandas 0.11 onward"", FutureWarning', '""Series.replace with inplace=True  will return None""                          "" from pandas 0.11 onward"", FutureWarning', '""order is deprecated, use sort_values(...', '""\'timeRule\' and \'offset\' parameters are deprecated,""                      "" please use \'freq\' instead"",                      FutureWarning', '""Series.fillna with inplace=True  will return None""                          "" from pandas 0.11 onward"", FutureWarning'}",set()
pandas.Series.compress,pandas.Series[condition],"{'""TimeSeries is deprecated. Please use Series"",                      FutureWarning, stacklevel=2', '            ""\'from_array\' is deprecated and will be removed in a ""            ""future version. Please use the pd.Series(..', '""The signature of `Series.to_csv` was aligned ""                          ""to that of `DataFrame.to_csv`, and argument ""                          ""\'header\' will change its default value from False ""                          ""to True: please pass an explicit value to suppress ""                          ""this warning."", FutureWarning,                          stacklevel=2', '(""na_last is deprecated. Please use na_position instead""', '        ""argmin"",        idxmin,        ""0.21.0"",        msg=dedent(            """"""        The current behaviour of \'Series.argmin\' is deprecated, use \'idxmin\'        instead.        The behavior of \'argmin\' will be corrected to return the positional        minimum in the future. For now, use \'series.values.argmin\' or        \'np.argmin(np.array(values', '        ""remove_na is deprecated and is a private "" ""function. Do not use."",        FutureWarning,        stacklevel=2,    ', '            ""Series.to_sparse is deprecated and will be removed "" ""in a future version"",            FutureWarning,            stacklevel=2,        ', '""The signature of `Series.to_csv` was aligned ""                          ""to that of `DataFrame.to_csv`, and argument ""                          ""\'path\' will be renamed to \'path_or_buf\'."",                          FutureWarning, stacklevel=2', '                ""The signature of `Series.to_csv` was aligned ""                ""to that of `DataFrame.to_csv`, and argument ""                ""\'header\' will change its default value from False ""                ""to True: please pass an explicit value to suppress ""                ""this warning."",                FutureWarning,                stacklevel=2,            ', '""order is deprecated, use sort_values(...', '            ""`real` has be deprecated and will be removed in a "" ""future verison"",            FutureWarning,            stacklevel=2,        ', '            ""The \'get_values\' method is deprecated and will be removed in a ""            ""future version. Use \'.to_numpy\' or \'.array\' instead."",            FutureWarning,            stacklevel=2,        ', '            ""`imag` has be deprecated and will be removed in a "" ""future verison"",            FutureWarning,            stacklevel=2,        ', '""sort is deprecated, use sort_values(inplace=True', '""iget_value(i', '""\'asobject\' is deprecated. Use \'astype(object', '""get_value is deprecated and will be removed ""                      ""in a future release. Please use ""                      "".at[] or .iat[] accessors instead"", FutureWarning,                      stacklevel=2', 'msg, FutureWarning, stacklevel=2', '\'argmin\', idxmin,                       msg=""\'argmin\' is deprecated. Use \'idxmin\' instead. ""                           ""The behavior of \'argmin\' will be corrected to ""                           ""return the positional minimum in the future. ""                           ""Use \'series.values.argmin\' to get the position of ""                           ""the minimum now.""', '""The signature of `Series.to_csv` was aligned ""                              ""to that of `DataFrame.to_csv`. Note that the ""                              ""order of arguments changed, and the new one ""                              ""has \'sep\' in first place, for which \\""{}\\"" is ""                              ""not a valid value. The old order will cease to ""                              ""be supported in a future version. Please refer ""                              ""to the documentation for `DataFrame.to_csv` ""                              ""when updating your function ""                              ""calls."".format(maybe_sep', '""set_value is deprecated and will be removed ""                      ""in a future release. Please use ""                      "".at[] or .iat[] accessors instead"", FutureWarning,                      stacklevel=2', '            ""Series.ftypes is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', '            ""\'asobject\' is deprecated. Use \'astype(object', 'msg.format(ufunc', '""irow(i', '""remove_na is deprecated and is a private ""                  ""function. Do not use."", FutureWarning, stacklevel=2', '            ""`real` is deprecated and will be removed in a future version. ""            ""To eliminate this warning for a Series `ser`, use ""            ""`np.real(ser.to_numpy', '        \'argmax\', idxmax, \'0.21.0\',        msg=dedent(""""""        The current behaviour of \'Series.argmax\' is deprecated, use \'idxmax\'        instead.        The behavior of \'argmax\' will be corrected to return the positional        maximum in the future. For now, use \'series.values.argmax\' or        \'np.argmax(np.array(values', '""sortlevel is deprecated, use sort_index(level=...', '            ""Method .valid will be removed in a future version. ""            ""Use .dropna instead."",            FutureWarning,            stacklevel=2,        ', '                ""The signature of `Series.to_csv` was aligned ""                ""to that of `DataFrame.to_csv`, and argument ""                ""\'path\' will be renamed to \'path_or_buf\'."",                FutureWarning,                stacklevel=2,            ', '""is_time_series is deprecated. Please use ""                      ""Series.index.is_all_dates"", FutureWarning, stacklevel=2', '        \'argmin\', idxmin, \'0.21.0\',        msg=dedent(""""""        The current behaviour of \'Series.argmin\' is deprecated, use \'idxmin\'        instead.        The behavior of \'argmin\' will be corrected to return the positional        minimum in the future. For now, use \'series.values.argmin\' or        \'np.argmin(np.array(values', '            ""set_value is deprecated and will be removed ""            ""in a future release. Please use ""            "".at[] or .iat[] accessors instead"",            FutureWarning,            stacklevel=2,        ', '""Method .valid will be removed in a future version. ""                      ""Use .dropna instead."", FutureWarning, stacklevel=2', 'msg, FutureWarning, stacklevel=3', '                    ""The signature of `Series.to_csv` was aligned ""                    ""to that of `DataFrame.to_csv`. Note that the ""                    ""order of arguments changed, and the new one ""                    ""has \'sep\' in first place, for which \\""{}\\"" is ""                    ""not a valid value. The old order will cease to ""                    ""be supported in a future version. Please refer ""                    ""to the documentation for `DataFrame.to_csv` ""                    ""when updating your function ""                    ""calls."".format(maybe_sep', '        ""argmax"",        idxmax,        ""0.21.0"",        msg=dedent(            """"""        The current behaviour of \'Series.argmax\' is deprecated, use \'idxmax\'        instead.        The behavior of \'argmax\' will be corrected to return the positional        maximum in the future. For now, use \'series.values.argmax\' or        \'np.argmax(np.array(values', '            ""`imag` is deprecated and will be removed in a future version. ""            ""To eliminate this warning for a Series `ser`, use ""            ""`np.imag(ser.to_numpy', '""iget(i', '            ""Series.ftype is deprecated and will ""            ""be removed in a future version. ""            ""Use Series.dtype instead."",            FutureWarning,            stacklevel=2,        ', '""reshape is deprecated and will raise ""                      ""in a subsequent release. Please use ""                      "".values.reshape(...', '\'argmax\', idxmax,                       msg=""\'argmax\' is deprecated. Use \'idxmax\' instead. ""                           ""The behavior of \'argmax\' will be corrected to ""                           ""return the positional maximum in the future. ""                           ""Use \'series.values.argmax\' to get the position of ""                           ""the maximum now.""', '            ""get_value is deprecated and will be removed ""            ""in a future release. Please use ""            "".at[] or .iat[] accessors instead"",            FutureWarning,            stacklevel=2,        ', '""\'from_array\' is deprecated and will be removed in a ""                      ""future version. Please use the pd.Series(..', '        \'argmin\', idxmin, \'0.21.0\',        msg=dedent(""""""\\        \'argmin\' is deprecated, use \'idxmin\' instead. The behavior of \'argmin\'        will be corrected to return the positional minimum in the future.        Use \'series.values.argmin\' to get the position of the minimum now.""""""', '            ""`put` has been deprecated and will be removed in a"" ""future version."",            FutureWarning,            stacklevel=2,        ', '        \'argmax\', idxmax, \'0.21.0\',        msg=dedent(""""""\\        \'argmax\' is deprecated, use \'idxmax\' instead. The behavior of \'argmax\'        will be corrected to return the positional maximum in the future.        Use \'series.values.argmax\' to get the position of the maximum now.""""""'}",set()
