,deprecated API,replacement API,extracted_text,PROPOSED_REPLACEMENT
0,scipy.rand,numpy.random.rand,set(),set()
1,scipy.diag,numpy.diag,set(),set()
7,scipy.misc.bytescale,skimage.util.img_as_ubyte,"{'message=""`bytescale` is deprecated in SciPy 1.0.0, ""                         ""and will be removed in 1.2.0.""'}",set()
8,scipy.misc.fromimage,numpy.asarray(im),"{'message=""`fromimage` is deprecated in SciPy 1.0.0. ""                         ""and will be removed in 1.2.0.\\n""                         ""Use ``np.asarray(im'}",{'np.asarray(im'}
11,scipy.misc.imresize,Image.fromarray(<arr>).resize(),"{'message=""`imresize` is deprecated in SciPy 1.0.0, ""                         ""and will be removed in 1.2.0.\\n""                         ""Use ``skimage.transform.resize`` instead.""', 'message=""`imresize` is deprecated in SciPy 1.0.0, ""                         ""and will be removed in 1.3.0.\\n""                         ""Use Pillow instead: ``numpy.array(Image.fromarray(arr'}",{'skimage.transform.resize'}
13,scipy.misc.imsave,imageio.imwrite,"{'message=""`imsave` is deprecated in SciPy 1.0.0, ""                         ""and will be removed in 1.2.0.\\n""                         ""Use ``imageio.imwrite`` instead.""'}",{'imageio.imwrite'}
14,scipy.misc.imshow,matplotlib.pyplot.imshow,"{'message=""`imshow` is deprecated in SciPy 1.0.0, ""                         ""and will be removed in 1.2.0.\\n""                         ""Use ``matplotlib.pyplot.imshow`` instead.""'}",{'matplotlib.pyplot.imshow'}
15,scipy.misc.toimage,Image.fromarray,"{'message=""`toimage` is deprecated in SciPy 1.0.0, ""                         ""and will be removed in 1.2.0.\\n""            ""Use Pillow\'s ``Image.fromarray`` directly instead.""'}",{'image.fromarray'}
16,scipy.misc.comb,scipy.special.comb,set(),set()
17,scipy.misc.factorial,scipy.special.factorial,set(),set()
18,scipy.misc.factorial2,scipy.special.factorial2,set(),set()
19,scipy.misc.factorialk,scipy.special.factorialk,set(),set()
20,scipy.misc.logsumexp,scipy.special.logsumexp,set(),set()
21,scipy.misc.pade,scipy.interpolate.pade,set(),set()
22,scipy.misc.info,numpy.info,"{'message=_msg % {""name"": ""info.(..., toplevel=\'scipy\''}",set()
23,scipy.misc.source,numpy.source,set(),set()
24,scipy.misc.who,numpy.who,set(),set()
28,scipy.signal.windows.slepian,scipy.signal.windows.dpss,"{""new_name='scipy.signal.windows.hann'""}",set()
29,scipy.stats.itemfreq,numpy.unique,"{'message=""`itemfreq` is deprecated and will be removed in a ""              ""future version. Use instead `np.unique(..., return_counts=True', '    message=""`itemfreq` is deprecated and will be removed in a ""            ""future version. Use instead `np.unique(..., return_counts=True'}","{'np.unique(...,'}"
30,scipy.spatial.distance.matching,scipy.spatial.distance.hamming,set(),set()
31,scipy.spatial.distance.wminkowski,scipy.spatial.distance.minkowski,set(),set()
32,scipy.special.errprint,scipy.special.seterr,"{'message=(""`errprint` is deprecated in SciPy 0.19.""                       "" Use `errstate` instead.""', 'message=(""`errprint` is deprecated in SciPy 0.19.""             # <<<<<<<<<<<<<< *                        "" Use `errstate` instead.""', 'message=(""`errprint` is deprecated in SciPy 0.19."" *                        "" Use `errstate` instead.""'}",{'errstate'}
33,scipy.special.sph_in,scipy.special.spherical_in,"{'message=""scipy.special.sph_in is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_in instead. ""                      ""Note that the new function has a different signature.""', 'message=""scipy.special.sph_inkn is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_in and ""                      ""scipy.special.spherical_kn instead. ""                      ""Note that the new function has a different signature.""'}","{'scipy.special.spherical_in', 'scipy.special.spherical_in and                       scipy.special.spherical_kn'}"
34,scipy.special.sph_jn,scipy.special.spherical_jn,"{'message=""scipy.special.sph_jn is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_jn instead. ""                      ""Note that the new function has a different signature.""', 'message=""scipy.special.sph_jnyn is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_jn and ""                      ""scipy.special.spherical_yn instead. ""                      ""Note that the new function has a different signature.""'}","{'scipy.special.spherical_jn', 'scipy.special.spherical_jn and                       scipy.special.spherical_yn'}"
35,scipy.special.sph_kn,scipy.special.spherical_kn,"{'message=""scipy.special.sph_kn is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_kn instead. ""                      ""Note that the new function has a different signature.""'}",{'scipy.special.spherical_kn'}
36,scipy.special.sph_yn,scipy.special.spherical_yn,"{'message=""scipy.special.sph_yn is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_yn instead. ""                      ""Note that the new function has a different signature.""'}",{'scipy.special.spherical_yn'}
37,scipy.special.sph_jnyn,scipy.special.spherical_jn,"{'message=""scipy.special.sph_jnyn is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_jn and ""                      ""scipy.special.spherical_yn instead. ""                      ""Note that the new function has a different signature.""'}",{'scipy.special.spherical_jn and                       scipy.special.spherical_yn'}
38,scipy.special.sph_inkn,scipy.special.spherical_jn,"{'message=""scipy.special.sph_inkn is deprecated in scipy 0.18.0. ""                      ""Use scipy.special.spherical_in and ""                      ""scipy.special.spherical_kn instead. ""                      ""Note that the new function has a different signature.""'}",{'scipy.special.spherical_in and                       scipy.special.spherical_kn'}
